"State","Year","Children Maltreated While in Foster Care (%)","Children Not Maltreated While in Foster Care (%)","Number of Children in Foster Care During FY"
"Alabama","2016","0.11","99.89","8382"
"Alaska","2016","0.93","99.07","3864"
"Arizona","2016","0.06","99.94","29090"
"Arkansas","2016","0.18","99.82","8285"
"California","2016","0.19","99.81","85896"
"Colorado","2016","0.58","99.42","10631"
"Connecticut","2016","0.11","99.89","5602"
"Delaware","2016","0","0","1163"
"District of Columbia","2016","0.4","99.6","1248"
"Florida","2016","0.05","99.95","39243"
"Georgia","2016","-","-","-"
"Hawaii","2016","0.72","99.28","2511"
"Idaho","2016","0.08","99.92","2594"
"Illinois","2016","0.54","99.46","20105"
"Indiana","2016","0.2","99.8","29317"
"Iowa","2016","0.16","99.84","9986"
"Kansas","2016","0.19","99.81","10930"
"Kentucky","2016","0.4","99.6","13016"
"Louisiana","2016","0.23","99.77","8182"
"Maine","2016","0.69","99.31","2758"
"Maryland","2016","0.6","99.4","6017"
"Massachusetts","2016","1.63","98.37","16674"
"Michigan","2016","0.42","99.58","18194"
"Minnesota","2016","0.68","99.32","14581"
"Mississippi","2016","1.18","98.82","8396"
"Missouri","2016","0.25","99.75","19332"
"Montana","2016","0.18","99.82","4924"
"Nebraska","2016","0.13","99.87","6186"
"Nevada","2016","0.27","99.73","7807"
"New Hampshire","2016","0","0","1755"
"New Jersey","2016","0.07","99.93","11028"
"New Mexico","2016","0.09","99.91","4325"
"New York","2016","3.07","96.93","27893"
"North Carolina","2016","0.33","99.67","15554"
"North Dakota","2016","0","0","2398"
"Ohio","2016","0.52","99.48","23646"
"Oklahoma","2016","1.28","98.72","16279"
"Oregon","2016","0.89","99.11","10599"
"Pennsylvania","2016","0.14","99.86","25822"
"Puerto Rico","2016","-","-","-"
"Rhode Island","2016","1.6","98.4","2868"
"South Carolina","2016","0.39","99.61","7413"
"South Dakota","2016","0.13","99.87","2377"
"Tennessee","2016","0.12","99.88","13891"
"Texas","2016","0.31","99.69","48965"
"Utah","2016","0.14","99.86","4992"
"Vermont","2016","0","0","2074"
"Virginia","2016","0.26","99.74","7782"
"Washington","2016","0.11","99.89","16252"
"West Virginia","2016","0.11","99.89","9440"
"Wisconsin","2016","0.14","99.86","11621"
"Wyoming","2016","0.4","99.6","2011"